f/Hz,U/V
0,45.6
1.23303,48.4
2.46607,48
3.6991,46.4
4.93213,43.2
6.16517,41.6
7.3982,39.6
8.63123,37.2
9.86427,37.2
11.0973,38.8
12.33033,40
13.56337,40
14.7964,40
16.02943,39.6
17.26247,39.2
18.4955,38.4
19.72854,38
20.96157,38.4
22.1946,38.4
23.42763,38
24.66066,37.6
25.89369,36.4
27.12672,35.6
28.35975,35.6
29.59278,36
30.82581,36.4
32.05884,36.8
33.29187,36.8
34.5249,37.2
35.75793,36.8
36.99096,36.4
38.22399,36.4
39.45702,36.8
40.69005,37.2
41.92308,37.6
43.15611,37.6
44.38914,37.6
45.62217,37.6
46.8552,37.6
48.08823,37.6
49.32126,37.6
50.55429,37.6
51.78732,37.6
53.02035,37.6
54.25338,37.6
55.48641,37.6
56.71944,37.6
57.95247,37.2
59.1855,37.2
60.41853,37.2
61.65156,37.6
62.88459,38
64.11762,38
65.35065,38
66.58368,38.4
67.81671,38.4
69.04974,38.8
70.28277,38.8
71.5158,38.8
72.74883,38.8
73.98186,38.8
75.21489,38.8
76.44792,38.8
77.68095,38.8
78.91398,39.2
80.14701,39.2
81.38004,39.2
82.61307,39.6
83.8461,39.6
85.07913,40
86.31216,40
87.54519,40
88.77822,40.4
90.01125,40.4
91.24428,40.4
92.47731,40.8
93.71034,41.2
94.94337,41.2
96.1764,41.2
97.40943,41.6
98.64246,41.6
99.87549,42
101.10852,42.4
102.34155,42.8
103.57458,43.2
104.80761,43.2
106.04064,43.2
107.27367,43.2
108.5067,43.6
109.73973,44
110.97276,44.8
112.20579,45.2
113.43882,45.6
114.67185,46.4
115.90488,46.8
117.13791,47.6
118.37094,48.4
119.60397,48.8
120.837,49.6
122.07003,49.6
123.30306,50
124.53609,51.2
125.76912,52.8
127.00215,55.2
128.23518,55.2
129.46821,63.2
130.70124,69.2
131.93427,70.8
133.1673,71.2
134.40033,71.2
135.63336,67.6
136.86639,61.6
138.09942,58
139.33245,55.2
140.56548,54
141.79851,53.2
143.03154,52
144.26457,50.4
145.4976,48.8
146.73063,47.6
147.96366,46.4
149.19669,45.2
150.42972,44.8
151.66275,44
152.89578,43.6
154.12881,42.8
155.36184,42
156.59487,41.6
157.8279,41.6
159.06093,41.2
160.29396,40.8
161.52699,40.4
162.76002,39.2
163.99305,38.4
165.22608,38
166.45911,37.6
167.69214,37.2
168.92517,36.8
170.1582,36.4
171.39123,35.6
172.62426,35.2
173.85729,35.2
175.09032,34.8
176.32335,34.4
177.55638,34
178.78941,33.2
180.02244,32.8
181.25547,32.4
182.4885,32
183.72153,32
184.95456,32
186.18759,31.2
187.42062,31.2
188.65365,30.8
189.88668,30.4
191.11971,29.6
192.35274,29.2
193.58577,28.8
194.8188,28.4
196.05183,28
197.28486,27.6
198.51789,27.2
199.75092,27.2
200.98395,26.8
202.21698,26.8
203.45001,26.4
204.68304,26
205.91607,25.2
207.1491,25.2
208.38213,24.8
209.61516,24.8
210.84819,24.8
212.08122,24.4
213.31425,24.4
214.54728,24.4
215.78031,24.4
217.01334,23.6
218.24637,24
219.4794,24.4
220.71243,24.8
221.94546,24.4
223.17849,24
224.41152,24.4
225.64455,24.8
226.87758,24.8
228.11061,25.2
229.34364,24.8
230.57667,25.6
231.8097,26.4
233.04273,26.8
234.27576,26.4
235.50879,25.6
236.74182,23.2
237.97485,21.6
239.20788,24
240.44091,26.8
241.67394,28.4
242.90697,29.2
244.14,29.2
245.37303,28.8
246.60606,28.8
247.83909,29.2
249.07212,30
250.30515,30.4
251.53818,30.4
252.77121,32.4
254.00424,31.6
255.23727,26.4
256.4703,25.2
257.70333,33.6
258.93636,37.2
260.16939,36.8
261.40242,39.6
262.63545,44.8
263.86848,46.4
265.10151,48
266.33454,48
267.56757,46
268.8006,44.4
270.03363,42.4
271.26666,40
272.49969,38
273.73272,35.6
274.96575,33.6
276.19878,32.4
277.43181,32
278.66484,32
279.89787,30.8
281.1309,30.8
282.36393,30.8
283.59696,29.6
284.82999,28.4
286.06302,27.6
287.29605,28.4
288.52908,28.4
289.76211,27.6
290.99514,26
292.22817,24.4
293.4612,23.2
294.69423,24.4
295.92726,26
297.16029,27.2
298.39332,27.6
299.62635,27.6
300.85938,28
302.09241,27.2
303.32544,27.2
304.55847,26.8
305.7915,26
307.02453,25.2
308.25756,24.8
309.49059,24.4
310.72362,24.8
311.95665,24.4
313.18968,24.4
314.42271,25.2
315.65574,26
316.88877,25.6
318.1218,25.6
319.35483,25.2
320.58786,24.8
321.82089,24.8
323.05392,24.4
324.28695,24.4
325.51998,24
326.75301,24.4
327.98604,24.4
329.21907,24.4
330.4521,24
331.68513,24.8
332.91816,25.2
334.15119,26
335.38422,25.6
336.61725,26.4
337.85028,25.6
339.08331,25.6
340.31634,25.2
341.54937,26
342.7824,26.4
344.01543,26.4
345.24846,26
346.48149,26
347.71452,26
348.94755,26.8
350.18058,27.2
351.41361,27.6
352.64664,27.6
353.87967,27.6
355.1127,27.6
356.34573,27.6
357.57876,28
358.81179,28.8
360.04482,29.6
361.27785,29.6
362.51088,29.2
363.74391,30
364.97694,30.4
366.20997,30.4
367.443,31.2
368.67603,32
369.90906,32.4
371.14209,32.4
372.37512,31.6
373.60815,30.8
374.84118,30.4
376.07421,31.2
377.30724,32.4
378.54027,33.2
379.7733,33.6
381.00633,34.4
382.23936,35.6
383.47239,36.8
384.70542,37.6
385.93845,39.6
387.17148,40
388.40451,39.6
389.63754,37.6
390.87057,36.8
392.1036,40.8
393.33663,42
394.56966,42.8
395.80269,54.8
397.03572,58
398.26875,59.6
399.50178,60.8
400.73481,58.8
401.96784,55.2
403.20087,51.2
404.4339,46.8
405.66693,44.8
406.89996,45.2
408.13299,46
409.36602,45.2
410.59905,43.2
411.83208,40.8
413.06511,39.2
414.29814,37.6
415.53117,36
416.7642,35.2
417.99723,34.4
419.23026,33.6
420.46329,32
421.69632,32
422.92935,30.8
424.16238,31.2
425.39541,32.8
426.62844,33.6
427.86147,33.2
429.0945,31.6
430.32753,30
431.56056,29.2
432.79359,28.8
434.02662,28.4
435.25965,28.8
436.49268,28
437.72571,27.2
438.95874,26
440.19177,26
441.4248,26
442.65783,25.2
443.89086,25.2
445.12389,25.2
446.35692,24.8
447.58995,24
448.82298,22.8
450.05601,23.6
451.28904,23.2
452.52207,23.2
453.7551,24
454.98813,23.6
456.22116,24
457.45419,23.2
458.68722,22.4
459.92025,22.4
461.15328,22
462.38631,21.2
463.61934,21.2
464.85237,22.4
466.0854,22.8
467.31843,22.4
468.55146,22.8
469.78449,22.8
471.01752,22.4
472.25055,22
473.48358,21.6
474.71661,21.6
475.94964,21.2
477.18267,21.2
478.4157,22
479.64873,21.6
480.88176,22.4
482.11479,23.2
483.34782,23.6
484.58085,24
485.81388,23.2
487.04691,23.6
488.27994,23.2
489.51297,22.4
490.746,22.8
491.97903,23.2
493.21206,23.6
494.44509,24.8
495.67812,24.8
496.91115,25.6
498.14418,26.4
499.37721,27.2
500.61024,27.6
501.84327,27.6
503.0763,26.8
504.30933,24.8
505.54236,26
506.77539,27.2
508.00842,28.8
509.24145,29.2
510.47448,29.6
511.70751,30
512.94054,30.4
514.17357,30.4
515.4066,31.2
516.63963,31.2
517.87266,32.8
519.10569,34.4
520.33872,33.2
521.57175,28.8
522.80478,18
524.03781,32.4
525.27084,36
526.50387,30
527.7369,40
528.96993,44.4
530.20296,46.8
531.43599,48.4
532.66902,47.2
533.90205,44.8
535.13508,43.2
536.36811,41.2
537.60114,38.8
538.83417,36
540.0672,33.2
541.30023,32.4
542.53326,32.4
543.76629,31.6
544.99932,30.4
546.23235,28.8
547.46538,29.6
548.69841,30
549.93144,29.2
551.16447,28
552.3975,26.4
553.63053,26.8
554.86356,26.4
556.09659,25.2
557.32962,23.2
558.56265,20.4
559.79568,18.8
561.02871,19.2
562.26174,19.6
563.49477,21.2
564.7278,21.6
565.96083,22.8
567.19386,22.8
568.42689,23.2
569.65992,22.8
570.89295,22
572.12598,21.2
573.35901,20.8
574.59204,19.6
575.82507,19.6
577.0581,20.8
578.29113,20.4
579.52416,20
580.75719,20.8
581.99022,20.4
583.22325,20.4
584.45628,20.4
585.68931,19.6
586.92234,20.4
588.15537,19.6
589.3884,18.8
590.62143,18.4
591.85446,16.8
593.08749,16.4
594.32052,15.6
595.55355,15.6
596.78658,15.2
598.01961,16.8
599.25264,17.2
600.48567,17.6
601.7187,18
602.95173,17.6
604.18476,17.2
605.41779,15.6
606.65082,12.4
607.88385,15.2
609.11688,16
610.34991,16.4
611.58294,16
612.81597,15.2
614.049,15.6
615.28203,13.6
616.51506,15.6
617.74809,17.6
618.98112,16.8
620.21415,17.6
621.44718,17.6
622.68021,17.6
623.91324,17.6
625.14627,18
626.3793,18.8
627.61233,18.4
628.84536,19.2
630.07839,21.2
631.31142,22.4
632.54445,23.2
633.77748,25.2
635.01051,26.4
636.24354,26.8
637.47657,26.4
638.7096,24
639.94263,21.6
641.17566,22
642.40869,22.4
643.64172,23.6
644.87475,23.6
646.10778,25.2
647.34081,26
648.57384,28.4
649.80687,29.6
651.0399,32.8
652.27293,34.8
653.50596,36
654.73899,35.6
655.97202,33.2
657.20505,27.2
658.43808,36
659.67111,28
660.90414,42
662.13717,47.6
663.3702,50.8
664.60323,53.2
665.83626,52.4
667.06929,50
668.30232,46.8
669.53535,42
670.76838,37.6
672.00141,39.2
673.23444,41.6
674.46747,42.4
675.7005,41.2
676.93353,39.2
678.16656,36.8
679.39959,35.2
680.63262,33.2
681.86565,31.6
683.09868,30.4
684.33171,30.4
685.56474,28
686.79777,26
688.0308,23.2
689.26383,20
690.49686,24.8
691.72989,28.8
692.96292,30.4
694.19595,30
695.42898,28
696.66201,26
697.89504,24.8
699.12807,23.6
700.3611,22.8
701.59413,23.2
702.82716,22
704.06019,21.6
705.29322,20.4
706.52625,20
707.75928,20
708.99231,19.6
710.22534,19.6
711.45837,20
712.6914,20.8
713.92443,19.6
715.15746,18.8
716.39049,18.8
717.62352,18.4
718.85655,18.8
720.08958,18
721.32261,17.6
722.55564,18
723.78867,18.4
725.0217,18.4
726.25473,19.2
727.48776,19.6
728.72079,19.6
729.95382,18.8
731.18685,20
732.41988,19.6
733.65291,20
734.88594,21.2
736.11897,20.4
737.352,20
738.58503,18.8
739.81806,17.2
741.05109,17.2
742.28412,16.8
743.51715,17.6
744.75018,19.2
745.98321,19.6
747.21624,20.4
748.44927,21.2
749.6823,22
750.91533,21.6
752.14836,22
753.38139,21.2
754.61442,20.8
755.84745,19.6
757.08048,20.8
758.31351,22
759.54654,22.4
760.77957,22
762.0126,22.4
763.24563,23.6
764.47866,24.8
765.71169,26.4
766.94472,27.6
768.17775,28
769.41078,26.8
770.64381,24.8
771.87684,23.6
773.10987,25.2
774.3429,27.2
775.57593,28
776.80896,28.8
778.04199,29.6
779.27502,30.4
780.50805,31.2
781.74108,31.6
782.97411,32.4
784.20714,34.8
785.44017,35.6
786.6732,35.2
787.90623,32
789.13926,22.4
790.37229,31.2
791.60532,33.2
792.83835,20
794.07138,38
795.30441,42.8
796.53744,46.4
797.77047,47.2
799.0035,45.6
800.23653,43.6
801.46956,41.2
802.70259,39.2
803.93562,36.8
805.16865,34
806.40168,31.2
807.63471,32.4
808.86774,32.4
810.10077,31.2
811.3338,28.4
812.56683,26
813.79986,28
815.03289,28.8
816.26592,28
817.49895,25.6
818.73198,25.2
819.96501,26
821.19804,25.6
822.43107,24
823.6641,21.6
824.89713,19.2
826.13016,18
827.36319,17.2
828.59622,17.6
829.82925,18
831.06228,16.4
832.29531,18.4
833.52834,17.6
834.76137,18
835.9944,19.2
837.22743,18
838.46046,17.6
839.69349,16.8
840.92652,15.2
842.15955,14.8
843.39258,12.4
844.62561,12
845.85864,13.6
847.09167,14.8
848.3247,16.8
849.55773,16.4
850.79076,16.8
852.02379,17.2
853.25682,15.6
854.48985,14.8
855.72288,13.6
856.95591,14
858.18894,12.4
859.42197,12
860.655,6.4
861.88803,0
863.12106,2.4
864.35409,5.6
865.58712,2.4
866.82015,5.6
868.05318,5.6
869.28621,6.4
870.51924,5.6
871.75227,0
872.9853,0
874.21833,0
875.45136,5.6
876.68439,2.4
877.91742,6.4
879.15045,0
880.38348,0
881.61651,0
882.84954,0
884.08257,0
885.3156,2.4
886.54863,6.4
887.78166,8.4
889.01469,12
890.24772,12.4
891.48075,13.6
892.71378,14.8
893.94681,14.8
895.17984,18
896.41287,18.8
897.6459,18.4
898.87893,19.6
900.11196,20.8
901.34499,21.6
902.57802,20.4
903.81105,17.2
905.04408,10.8
906.27711,15.2
907.51014,17.2
908.74317,18.8
909.9762,19.6
911.20923,20.4
912.44226,20.4
913.67529,21.2
914.90832,23.6
916.14135,28
917.37438,31.2
918.60741,32.8
919.84044,33.6
921.07347,32.4
922.3065,26
923.53953,30.8
924.77256,29.2
926.00559,28
927.23862,38
928.47165,42.4
929.70468,45.6
930.93771,45.6
932.17074,43.6
933.40377,40.8
934.6368,36
935.86983,31.2
937.10286,34.4
938.33589,37.6
939.56892,39.2
940.80195,39.2
942.03498,37.6
943.26801,35.6
944.50104,33.6
945.73407,31.6
946.9671,29.6
948.20013,28
949.43316,27.6
950.66619,25.6
951.89922,23.2
953.13225,19.6
954.36528,9.2
955.59831,16.4
956.83134,24
958.06437,27.2
959.2974,28
960.53043,27.2
961.76346,24.8
962.99649,22.8
964.22952,21.2
965.46255,20.4
966.69558,20.8
967.92861,20.4
969.16164,18.8
970.39467,18.8
971.6277,16
972.86073,14.4
974.09376,12.4
975.32679,12
976.55982,15.6
977.79285,17.6
979.02588,18
980.25891,17.6
981.49194,15.6
982.72497,13.6
983.958,14.4
985.19103,14.8
986.42406,13.6
987.65709,13.6
988.89012,13.6
990.12315,13.6
991.35618,13.6
992.58921,13.6
993.82224,13.6
995.05527,12
996.2883,13.6
997.52133,14.8
998.75436,14.4
999.98739,14.8
1001.22042,16
1002.45345,15.2
1003.68648,16.4
1004.91951,13.6
1006.15254,12
1007.38557,9.2
1008.6186,9.6
1009.85163,12.4
1011.08466,9.2
1012.31769,13.6
1013.55072,15.6
1014.78375,16.8
1016.01678,17.2
1017.24981,17.6
1018.48284,15.2
1019.71587,13.6
1020.9489,12
1022.18193,15.2
1023.41496,16
1024.64799,17.2
1025.88102,18
1027.11405,16.8
1028.34708,16.4
1029.58011,18.4
1030.81314,22
1032.04617,24
1033.2792,26.8
1034.51223,27.6
1035.74526,27.2
1036.97829,23.6
1038.21132,19.2
1039.44435,20
1040.67738,22.4
1041.91041,24.4
1043.14344,26
1044.37647,28
1045.6095,29.2
1046.84253,29.6
1048.07556,30.8
1049.30859,33.2
1050.54162,35.2
1051.77465,36
1053.00768,36.4
1054.24071,34.8
1055.47374,29.2
1056.70677,34
1057.9398,32.4
1059.17283,13.6
1060.40586,33.6
1061.63889,41.2
1062.87192,44.4
1064.10495,44.8
1065.33798,42.8
1066.57101,40.8
1067.80404,38.8
1069.03707,36
1070.2701,34.4
1071.50313,31.6
1072.73616,32
1073.96919,33.6
1075.20222,32.8
1076.43525,31.2
1077.66828,26.8
1078.90131,24.8
1080.13434,26.4
1081.36737,27.6
1082.6004,26.8
1083.83343,25.2
1085.06646,25.2
1086.29949,24.8
1087.53252,24.8
1088.76555,23.2
1089.99858,20.8
1091.23161,20.8
1092.46464,20
1093.69767,18.4
1094.9307,18.8
1096.16373,18
1097.39676,17.6
1098.62979,16.4
1099.86282,18
1101.09585,17.6
1102.32888,18.4
1103.56191,18.4
1104.79494,18
1106.02797,16.4
1107.261,13.6
1108.49403,10.8
1109.72706,8.4
1110.96009,9.6
1112.19312,6.4
1113.42615,9.6
1114.65918,11.6
1115.89221,13.6
1117.12524,13.6
1118.35827,15.6
1119.5913,15.6
1120.82433,16
1122.05736,15.2
1123.29039,15.2
1124.52342,14.8
1125.75645,13.6
1126.98948,12.4
1128.22251,9.6
1129.45554,9.6
1130.68857,10.8
1131.9216,9.2
1133.15463,9.6
1134.38766,5.6
1135.62069,0
1136.85372,0
1138.08675,9.2
1139.31978,11.6
1140.55281,11.6
1141.78584,11.6
1143.01887,6.4
1144.2519,2.4
1145.48493,0
1146.71796,0
1147.95099,6.4
1149.18402,8.4
1150.41705,10.8
1151.65008,12.4
1152.88311,13.6
1154.11614,16.4
1155.34917,16.8
1156.5822,14.4
1157.81523,15.6
1159.04826,15.2
1160.28129,15.6
1161.51432,16.8
1162.74735,16.8
1163.98038,19.2
1165.21341,19.6
1166.44644,19.6
1167.67947,19.6
1168.9125,16.4
1170.14553,16.4
1171.37856,19.2
1172.61159,22
1173.84462,22.8
1175.07765,22
1176.31068,22.8
1177.54371,23.6
1178.77674,23.6
1180.00977,22.4
1181.2428,25.2
1182.47583,29.2
1183.70886,32.4
1184.94189,33.2
1186.17492,33.2
1187.40795,29.6
1188.64098,30.8
1189.87401,32.4
1191.10704,32.8
1192.34007,36.8
1193.5731,39.2
1194.80613,42
1196.03916,42.4
1197.27219,40.4
1198.50522,34.8
1199.73825,26.8
1200.97128,28
1202.20431,34
1203.43734,34.4
1204.67037,36
1205.9034,38
1207.13643,36.8
1208.36946,35.6
1209.60249,33.6
1210.83552,31.6
1212.06855,28.8
1213.30158,27.2
1214.53461,25.6
1215.76764,24
1217.00067,20.8
1218.2337,17.6
1219.46673,12
1220.69976,13.6
1221.93279,21.6
1223.16582,26
1224.39885,28
1225.63188,26.8
1226.86491,24.8
1228.09794,22.4
1229.33097,19.6
1230.564,16.8
1231.79703,16.4
1233.03006,13.6
1234.26309,12
1235.49612,9.6
1236.72915,2.4
1237.96218,0
1239.19521,0
1240.42824,5.6
1241.66127,9.6
1242.8943,10.8
1244.12733,10.8
1245.36036,8.4
1246.59339,2.4
1247.82642,2.4
1249.05945,5.6
1250.29248,0
1251.52551,2.4
1252.75854,6.4
1253.99157,6.4
1255.2246,6.4
1256.45763,2.4
1257.69066,6.4
1258.92369,5.6
1260.15672,5.6
1261.38975,0
